財務
コード,年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率
1301,2021/03,116331000000,39975000000,35300000000,28737000000,8056000000,32720000000,3753.75,34.7
130A,2021/12,1754789000,1683971000,1683971000,-530225000,-,-,306.1,96
1332,2021/03,475468000000,187779000000,159648000000,107781000000,68577000000,112230000000,544.54,35.6
1333,2021/03,532866000000,166660000000,138081000000,76406000000,135920000000,123917000000,902.64,26.7
1352,2021/03,41388000000,7855000000,6946000000,3243000000,1900000000,18787000000,834.05,16.9
1375,2021/03,35644000000,9230000000,9233000000,15117000000,-,18351000000,231.34,25.9
1376,2021/05,47452032000,21696954000,20838179000,17711991000,-,-,1859.82,45.7
1377,2021/05,133077000000,111898000000,110905000000,91099000000,1894000000,894000000,2503.8,83.9
1379,2021/03,100237000000,54140000000,52964000000,45267000000,3931000000,11739000000,1720.35,54
137A,2021/05,121003000,82260000,-,-,-,-,-,68
1380,2021/03,5378494000,1920136000,1851099000,589388000,1009341000,1119117000,460.17,35.7
1381,2021/06,20197000000,17328000000,17218000000,16339000000,-,-,3085.37,85.8
1382,2021/06,974949000,577179000,577131000,-276090000,-,16004000,757.71,59.2
1383,2021/10,5094207000,1245188000,1017581000,440811000,750000000,1210378000,799.6,19.9
1384,2021/03,14252000000,9051000000,8878292000,7069112000,600000000,1675263000,1070.06,63.5
138A,2021/11,1777313000,104984000,104984000,84984000,-,1226905000,156.23,5.9
1400,2021/12,3008616000,2332394000,2175211000,-882608000,2600000,74637000,167.8,72.6
1401,2021/05,3740227000,2737582000,2706641000,1915215000,-,-,354.06,73.2
1407,2021/08,97278000000,25331000000,25356000000,25824000000,20725000000,32409000000,622.66,26
1413,2021/12,81859141000,27685862000,23645982000,24807567000,4097000000,10613200000,1869.49,28.9
1414,2021/06,109807000000,90960000000,90233000000,52975000000,-,-,422.16,82.8
1417,2021/03,358751000000,231323000000,220922000000,155239000000,186000000,-,2232.24,63.1
1419,2021/05,100216000000,26214000000,25924000000,17334000000,12588000000,2140000000,887.43,26.1
141A,2021/06,171445000000,52796000000,50594000000,46858000000,-,22180000000,526.91,30
1420,2021/03,52611842000,16922395000,16936396000,8465977000,13140000000,5989000000,1531.73,32.2
1429,2021/12,18279278000,7951431000,7951415000,5367699000,3100000000,33200000,246.09,43.5
142A,2021/03,1136736000,78859000,-,-,-,-,-,6.9
1430,2021/05,17427983000,6282106000,6275486000,5780723000,-,3675000000,520.77,36
1431,2021/06,7604797000,3371774000,3371774000,1676411000,1159250000,759500000,149.35,44.3
1434,2021/08,11795871000,3994009000,3838784000,1942834000,1387124000,2857085000,570.33,32.1
1435,2021/12,9932940000,7527251000,7419958000,149478000,-,318360000,82.95,75.5
1436,2021/04,8224521000,4356761000,4351997000,2487869000,1079165000,941738000,346.27,52.9
1438,2021/09,4263803000,3061094000,3057567000,2323677000,200000000,33024000,955.2,71.8
1439,2021/12,4175224000,1499439000,1457997000,993144000,-,1000101000,1124.79,34.9
143A,2021/03,-,814923000,-,-,-,-,-,-
1443,2021/03,16288789000,9376875000,8845961000,6252643000,825263000,2052363000,577.53,57.6
1444,2021/07,1255153000,1009281000,1009281000,676776000,-,-,1086.8,80.4
1446,2021/09,7366592000,3260895000,3260895000,421721000,200000000,1859176000,304.07,44.3
1447,2021/03,14928342000,2519927000,2314707000,-1381486000,2661723000,4056269000,108.48,15.6
1448,2021/03,79175000000,25895000000,22081000000,13687000000,9144000000,10460000000,730.19,32.6
1449,2021/12,726250000,362227000,362227000,276379000,-,135000000,170.06,49.9
1450,2021/03,7009460000,4781587000,4725559000,4179863000,300000000,-,549.67,68.2
1451,2021/03,14781815000,5705449000,5705331000,4285290000,-,3882442000,1447.49,38.6
145A,2021/12,1315258000,906671000,906671000,-666998000,-,312904000,218.2,68.9
146A,2021/12,19263000000,4715000000,4715000000,4610000000,1663000000,8601000000,943,24.5
147A,2021/03,-,3455711000,-,-,-,-,-,-
148A,2021/12,1912303000,445569000,445569000,-662329000,-,377992000,266.97,23.3
1491,2021/03,8268563000,6568268000,6568334000,350752000,600000000,170415000,453.54,79.4
149A,2021/12,529143000,419160000,419160000,-92464000,-,34535000,155.69,79.2
150A,2021/03,880504000,84028000,-,-,-,-,-,9.5
1514,2021/03,17050000000,15105000000,15019000000,12092000000,70000000,-,276.03,88.6
1515,2021/03,188735000000,116411000000,100591000000,91693000000,16491000000,5086000000,1335.21,58.9
1518,2021/03,70618000000,30287000000,30478000000,15793000000,12406000000,10156000000,464.52,42.8
151A,2021/06,2133518000,783317000,-,-,-,-,-,36.7
153A,2021/12,481510000,-56925000,-56925000,-592320000,-,250000000,-9.98,-11.8
155A,2021/12,1736446000,155618000,155618000,105618000,150000000,551774000,18.31,9
156A,2021/08,-,912856000,-,-,-,-,-,-
157A,2021/06,849535000,479494000,-,-,-,-,-,56.4
1605,2021/12,5285056000000,3346409000000,3033680000000,2180837000000,80493000000,1099721000000,2507.81,57.4
160A,2021/03,11261568000,1552695000,-,-,-,-,-,13.8
1662,2021/03,624786000000,434492000000,358575000000,344438000000,-,50180000000,1402.27,64
1663,2021/12,99096000000,82117000000,78103000000,58434000000,391000000,609000000,2951.2,79.1
1711,2021/03,277349000,39184000,33029000,-2934449000,-,-,6.61,12.7
1712,2021/02,21275000000,13761000000,12914000000,8552000000,980000000,2505000000,776.99,61.3
1716,2021/06,17991723000,14321265000,13621254000,12811515000,-,175825000,1197.33,75.8
1717,2021/03,5504690000,3966675000,3907058000,3450123000,-,-,343.49,71
1718,2021/12,30561859000,15885521000,13935927000,12575666000,1700000000,2356579000,12787.26,45.7
1719,2021/03,339387000000,146676000000,141824000000,115086000000,16312000000,8271000000,782.28,43
