業績
コード,年度,売上高,営業利益,経常利益,純利益,EPS,ROE,ROA
1301,2022/03,253575000000,6392000000,6904000000,4634000000,430.76,10.85,3.55
130A,2022/12,178801000,-138909000,-138455000,-141381000,-25.7,-,-
1332,2022/03,693682000000,27076000000,32372000000,17275000000,55.51,9.1,3.42
1333,2022/03,866702000000,23819000000,27596000000,16898000000,107.04,10.55,3.08
1352,2022/03,-,-,-,-,122.29,13.06,2.49
1375,2022/03,47081000000,4975000000,-,2989000000,74.9,28.55,8.28
1376,2022/05,60691766000,1835625000,1909002000,1302571000,111.83,5.75,2.66
1377,2022/05,73049000000,11181000000,12114000000,12256000000,276.02,9.79,8.31
1379,2022/03,70932000000,2014000000,3658000000,2530000000,80.25,4.64,2.41
137A,2022/05,557140000,69829000,70503000,48469000,356.33,34.36,20.16
1380,2022/03,6638727000,115677000,237370000,159570000,38.27,7.85,2.85
1381,2022/06,21725000000,2453000000,2669000000,1943000000,345.99,10.35,9.08
1382,2022/06,2604674000,148024000,149666000,142243000,186.73,19.77,13.15
1383,2022/10,6393813000,-58613000,-44041000,202341000,142.42,12.47,3.33
1384,2022/03,15359000000,878000000,942000000,1191000000,140.8,11.73,7.66
138A,2022/11,1684256000,49401000,133189000,62876000,93.57,38.61,3.36
1400,2022/12,2269970000,-11434000,18676000,-14070000,-1.08,-,-
1401,2022/05,4030131000,440385000,475515000,325964000,42.39,10.93,8.49
1407,2022/08,67169000000,7770000000,7293000000,4257000000,104.69,15.46,4.2
1414,2022/06,81193000000,17267000000,17669000000,12366000000,57.76,13.13,10.53
1417,2022/03,470385000000,32804000000,34152000000,25163000000,250.84,10.39,5.77
1419,2022/05,240760000000,11893000000,12346000000,8283000000,282.23,26.83,7.88
141A,2022/06,595500000000,12046000000,12687000000,7135000000,73.04,12.31,3.84
1420,2022/03,51123408000,548782000,545599000,326306000,29.49,2.17,0.7
1429,2022/12,25670205000,2329177000,2359918000,1549154000,47.99,19.45,7.05
142A,2022/03,972741000,-91535000,-93823000,-65847000,-27.9,-,-
1430,2022/05,30178557000,1919030000,1891210000,1269124000,105.76,18.32,7.13
1431,2022/06,13761128000,666438000,706580000,444581000,19.85,13.07,5.83
1434,2022/08,10381039000,775984000,726755000,512710000,76.66,11.6,3.81
1435,2022/12,5421170000,645413000,664943000,719433000,8,9.13,6.69
1436,2022/04,7186591000,478463000,486427000,282421000,68.04,6.32,2.64
1438,2022/09,4851854000,383876000,369958000,247071000,77.13,7.56,5.52
1439,2022/12,7046602000,226809000,232098000,135160000,103.63,8.61,3.19
143A,2022/03,1024213000,71458000,116692000,97271000,60.79,20.49,7.3
1443,2022/03,8179512000,982942000,1033815000,466682000,28.74,4.72,2.92
1444,2022/07,3504776000,220185000,207531000,136970000,146.97,10.17,8.1
1446,2022/09,11268815000,337292000,303700000,105540000,11.23,4.19,1.63
1447,2022/03,26346996000,238703000,157244000,-766064000,-35.59,-,-
1449,2022/12,1551744000,-27818000,-24113000,-17868000,-8.39,-,-
1450,2022/03,9824388000,1418169000,1434676000,967393000,111.21,17.79,13.72
1451,2022/03,11888106000,562644000,521539000,340650000,86.12,5.75,2.29
145A,2022/12,970589000,-263996000,-265874000,-316494000,-76.17,-,-
146A,2022/12,11013000000,2190000000,1854000000,1174000000,234.8,20.25,4.35
147A,2022/03,5450617000,501078000,465746000,337153000,2.92,9.01,5.98
148A,2022/12,1647992000,-389768000,-394634000,-371891000,-217.75,-,-
1491,2022/03,51590216000,586700000,509019000,546852000,37.88,7.74,5.56
149A,2022/12,768268000,-150966000,-150836000,-136124000,-50.56,-,-
150A,2022/03,2330183000,89364000,82701000,60801000,2820.35,9.17,3.87
1514,2022/03,10277000000,2343000000,2356000000,2268000000,41.28,13.07,10.51
1515,2022/03,149082000000,15715000000,16605000000,9279000000,111.54,7.73,4.69
1518,2022/03,46592000000,8417000000,8595000000,5396000000,82.96,15.23,7.95
151A,2022/06,4009532000,-84755000,23783000,11494000,1.6,1.45,0.49
153A,2022/12,769468000,217830000,219854000,249960000,43.8,130.67,34.8
155A,2022/12,4939952000,302037000,332463000,285311000,33.57,65.13,16.43
156A,2022/08,4177862000,417319000,397620000,208281000,21.19,20.98,7.41
157A,2022/06,1397007000,52817000,51071000,38752000,12.15,7.48,4.78
1605,2022/12,2316086000000,1503667000000,1441995000000,498452000000,364.73,10.7,7.73
160A,2022/03,11518245000,240631000,297877000,484939000,160.05,28.8,4.1
1662,2022/03,249140000000,19809000000,43674000000,-30988000000,-109.12,-,-
1663,2022/12,106200000000,7304000000,7931000000,4766000000,179.24,5.67,4.34
1711,2022/03,1034970000,-260694000,-298344000,-333788000,-55.15,-,-
1712,2022/02,17082000000,2102000000,2112000000,1252000000,74.52,8.73,5.88
1716,2022/06,20949144000,2502046000,2704274000,1580021000,138.83,10.52,8.14
1717,2022/03,4260273000,865391000,865567000,606270000,52.99,14.2,10.6
1718,2022/12,30758899000,1102197000,1181040000,734690000,672.07,5.03,2.37
1719,2022/03,340293000000,26600000000,25838000000,17671000000,98.84,12.54,5.98
1720,2022/03,258083000000,-6078000000,-5132000000,-7459000000,-71.26,-,-
1721,2022/03,589028000000,42963000000,44036000000,29208000000,235.5,8.64,5.57
1723,2022/03,31669000000,4074000000,4139000000,3029000000,47.28,10.49,7.85
1724,2022/12,9965000000,414000000,438000000,294000000,63.53,5.51,2.59
1726,2022/03,35899000000,2289000000,2296000000,1527000000,33.84,11.58,4.5
1730,2022/03,3594613000,-73278000,-65856000,-52066000,-15.25,-,-
1734,2022/03,16764177000,-2741628000,-2588925000,-2787443000,-4419.92,-,-
1736,2022/03,25410370000,1923854000,2027792000,1349816000,85.71,7.73,5.04
1738,2022/03,9305794000,407623000,432607000,261149000,64.43,6.66,4.01
1739,2022/06,31482010000,2051166000,1942376000,1271949000,208.98,16.91,4.83
173A,2022/03,3647094000,385777000,409138000,931565000,216.14,76.19,19.64
1743,2022/09,10079794000,873274000,913330000,561601000,246.93,6.93,4.42
1757,2022/03,262584000,-452155000,-920324000,-992988000,-3.95,-,-
1762,2022/03,263907000000,11225000000,11490000000,6727000000,193.2,5.54,2.84
1764,2022/06,17009363000,240168000,204043000,121056000,100.57,2.59,0.86
1766,2022/04,311586000000,15039000000,15361000000,10275000000,764.23,9.06,5.29
1768,2022/03,17158961000,1107506000,1164478000,800147000,109.36,9.86,7.09
176A,2022/03,30990007000,1849227000,1714458000,1519298000,83.5,28.82,9.89
1770,2022/03,27708983000,1901058000,2047161000,1372498000,150.35,8.84,5.05
1771,2022/09,16839280000,926906000,989669000,323581000,64.2,4.06,2.47
1775,2022/03,82050000000,6592000000,6706000000,4607000000,512.29,13.99,7.35
1776,2022/03,31535000000,933000000,949000000,627000000,68.69,4.83,2.35
177A,2022/03,3947089000,969581000,917837000,587675000,141.1,26.51,10.5
1780,2022/03,27946370000,2208413000,1624059000,775313000,40.96,4.7,3.34
1783,2022/09,5027291000,75611000,50951000,-803640000,-5.75,-,-
