財務

コード,年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率
1439,2024/12,-,-,-,-,-,-,1486.1,-
1451,2024/03,15025464000,6395081000,6394726000,4937079000,200000000,3086267000,1601.84,42.6
1730,2024/03,2980227000,986536000,972710000,584683000,-,697634000,288.99,33.1
1775,2024/03,81009000000,42172000000,40375000000,31817000000,75000000,-,4614.73,51.2
1805,2024/03,150869000000,48803000000,47135000000,35948000000,18359000000,16487000000,2549.05,32.3
1973,2024/03,284897000000,157481000000,150344000000,120740000000,6230000000,-,1024.09,53.5
2150,2024/12,14113026000,11329679000,11123931000,7087285000,-,99872000,256.96,79
2372,2024/03,37148000000,12772000000,12574000000,7604000000,6360000000,9756000000,1054.81,34.4
2412,2024/03,-,-,-,-,-,-,153.43,-
2468,2024/03,2400175000,1734916000,1554986000,-29192000,400000000,11000000,167.19,65.2
2502,2024/12,5403405000000,2674051000000,2668801000000,1418660000000,451129000000,828047000000,1775.82,49.4
2599,2024/03,21139670000,8440399000,7788152000,7152565000,-,6957346000,1750.33,39.9
260A,2024/12,5601191000,3371174000,3371014000,-5157169000,249608000,1315955000,97.16,60.2
2651,2024/02,2297498000000,289300000000,284752000000,174429000000,90850000000,99000000,2845.3,12.4
2715,2024/03,117212000000,69249000000,69249000000,61391000000,296000000,-,1828.2,59.1
2754,2024/03,7982312000,5308588000,5248590000,4837682000,841144000,-,1084.8,65.8
2812,2024/03,-,-,-,-,-,-,1680.34,-
2830,2024/11,17189847000,13614679000,13100188000,10952667000,-,500000000,1649.37,79.2
2899,2024/03,99894000000,46872000000,39559000000,35530000000,9097000000,6176000000,2497.36,43.7
289A,2024/12,198062000000,65530000000,65530000000,14613000000,2260000000,77701000000,642.14,33.1
3057,2024/01,7685462000,2918157000,2596050000,999518000,-,504087000,452.44,38
3254,2024/09,324060000000,196009000000,194706000000,178425000000,2546000000,93352000000,2806.19,60.1
3264,2024/09,77231000000,28151000000,28144000000,6745000000,8562000000,29987000000,216.8,36.4
3275,2024/03,10781008000,7240553000,7224719000,6607584000,-,-,943.49,66.9
3319,2024/12,47152915000,-3035000,-254093000,-1865507000,9188962000,10583279000,-0.76,-0.03
3322,2024/03,9686144000,4892907000,4893031000,4952231000,850000000,818433000,1027.22,50.5
3328,2024/09,31529000000,14430000000,13357000000,8282000000,3350000000,560000000,1108.99,45.2
3458,2024/07,142557000000,41170000000,40299000000,28855000000,300000000,49403000000,1400.68,28.8
3540,2024/12,63166000000,27396000000,26103000000,26094000000,19200000000,1849000000,521.91,41.3
3666,2024/03,9897785000,7298759000,6152319000,6199838000,-,360000000,373.76,72.5
3688,2024/12,48344000000,24492000000,23503000000,9347000000,-,-,955.58,50
3738,2024/03,248260000000,77404000000,76805000000,68720000000,-,-,1385.41,31.2
3830,2024/04,14981086000,8837392000,8799494000,9525852000,-,1061243000,612.65,58.7
384A,2024/06,1148426000,227141000,222385000,143535000,125000000,492553000,199.65,19.8
3857,2024/03,23770000000,15404700000,15381176000,7685432000,-,-,510.51,64.8
3909,2024/12,3486185000,1294889000,795597000,-932061000,900000000,722335000,92.81,22.8
3978,2024/06,89205000000,45799000000,40741000000,27993000000,698000000,29800000000,1077.68,45.7
3990,2024/09,9832199000,3660933000,3602680000,2024308000,3500000000,-,180.62,36.6
3995,2024/01,-,-,-,-,-,-,134.25,-
4185,2024/03,771355000000,402444000000,375794000000,276992000000,97605000000,81465000000,1809.87,48.7
4215,2024/03,156194000000,97046000000,92785000000,46642000000,6978000000,-,993.31,61.9
4268,2024/04,981411000,675672000,675669000,487550000,-,10664000,62.88,68.8
4295,2024/03,21903424000,13274133000,12288213000,8644481000,385002000,491600000,1224.35,60.6
4314,2024/12,2701000000,2121000000,2121000000,2969000000,-,258000000,1354.26,78.6
4348,2024/03,67324000000,49158000000,48274000000,45829000000,-,-,888.42,72.4
4349,2024/03,4128161000,1674884000,1621243000,1441558000,-,1614880000,6020.21,40.6
440A,2024/10,8258402000,2170830000,2155030000,-949796000,-,3543000000,136.41,26.2
4485,2024/03,146620000000,54457000000,31220000000,-635000000,-,66295000000,1200.83,21
4489,2024/03,-,-,-,-,-,-,776.08,-
4551,2024/12,140664000000,121533000000,121119000000,110813000000,-,-,4323.29,86.4
4726,2024/03,51694000000,32619000000,29613000000,29253000000,-,109000000,1493.79,57.5
4770,2024/03,1131549000,939432000,939432000,303551000,-,-,149.48,83
4781,2024/03,77188000000,43791000000,41762000000,37400000000,4299000000,-,665.03,55.4
4824,2024/06,3926974000,3127906000,2214867000,401655000,-,78309000,318.91,79.1
4921,2024/03,110728000000,80533000000,79923000000,76337000000,-,-,661.37,72.2
4933,2024/12,38358000000,17809000000,16533000000,10855000000,10000000000,-,941.28,42.9
504A,2024/12,2834514000,-1956100000,-1607716000,-6283920000,-,3646927000,-64.57,-69.07
5070,2024/12,6458285000,4070179000,4020543000,2425744000,287499000,219021000,403.45,62.7
519A,2024/12,1038254000,376744000,376744000,-1145286000,-,377600000,1129.35,36.3
5217,2024/03,25753577000,19154124000,17721329000,15917933000,2037349000,1877637000,4953.67,74.4
5277,2024/03,6651066000,5468176000,5114786000,-240964000,500000000,-,739.76,82.6
5481,2024/03,398706000000,228597000000,208315000000,105724000000,54295000000,16300000000,4160.24,56.9
5585,2024/10,3486375000,3272696000,3272696000,810306000,-,-,496.99,93.9
5610,2024/12,-,-,-,-,-,-,2344.57,-
5759,2024/03,23908111000,6724899000,6199861000,283160000,6711650000,5075910000,743.1,28.1
5809,2024/03,61119000000,51186000000,49290000000,40557000000,-,-,828.53,83.7
5836,2024/12,5208348000,1308575000,1238482000,656481000,-,956816000,551.51,24.6
5935,2024/03,11513661000,5420391000,4879851000,3739293000,1321400000,357200000,1432.3,47
6026,2024/12,2767000000,1222000000,1219000000,860000000,-,140000000,1150.61,44.2
6048,2024/08,3311585000,2857198000,2732468000,1552828000,-,58386000,193.37,86.3
6095,2024/09,15554738000,9451350000,9450400000,5238820000,10000000,2625072000,434.74,60.7
6228,2024/12,25491000000,12469000000,11908000000,8343000000,2750000000,4344000000,949.82,48.9
6236,2024/03,18361570000,8126939000,7690786000,4061120000,1000000000,2010761000,1862.87,44.3
6362,2024/03,20884449000,12630916000,11588710000,9091146000,-,935460000,3635.66,60.5
6411,2024/12,36871433000,27245418000,24078565000,23098644000,250000000,-,5142,69.9
6556,2024/03,-,-,-,-,-,-,162.84,-
6600,2024/03,2864941000000,449766000000,449635000000,-463054000000,826413000000,284899000000,868.85,15.7
6640,2024/12,-,-,-,-,-,-,3349.29,-
6697,2024/12,-,-,-,-,-,-,671.7,-
6698,2024/03,4537770000,3301889000,2943314000,2312772000,200000000,193899000,533.92,69.6
6704,2024/03,46723000000,29987000000,27633000000,11049000000,-,6025000000,1921.7,61.2
