業績

コード,年度,売上高,営業利益,経常利益,純利益,EPS,ROE,ROA
1439,2024/12,-,-,-,-,146.51,8.03,3.67
1451,2024/03,10062575000,574626000,532281000,355661000,89.17,5.56,2.37
1730,2024/03,3139575000,-182847000,-174985000,-386169000,-113.12,-,-
1775,2024/03,103649000000,7879000000,8129000000,5413000000,601.93,13.04,6.68
1805,2024/03,132049000000,5252000000,4775000000,3403000000,177.82,6.98,2.26
1973,2024/03,359505000000,25120000000,24684000000,15329000000,102.9,10.05,5.38
2150,2024/12,11182987000,2361302000,2367971000,1139848000,25.79,10.23,8.08
2372,2024/03,17740000000,1134000000,1769000000,1415000000,116.87,11.08,3.81
2412,2024/03,-,-,-,-,33.82,22.02,10.59
2468,2024/03,1323146000,-179184000,-220546000,-245972000,-26.29,-,-
2502,2024/12,2939422000000,269052000000,-,192080000000,126.66,7.2,3.55
2599,2024/03,12058169000,1009722000,1267215000,925303000,191.92,10.96,4.38
260A,2024/12,875908000,-1959481000,-2128427000,-2939423000,-122.85,-,-
2651,2024/02,1087964000000,94090000000,-,52148000000,521.07,18.31,2.27
2715,2024/03,194350000000,9052000000,7595000000,5729000000,139.92,7.65,4.89
2754,2024/03,8539352000,527422000,540958000,350098000,72.36,6.67,4.39
2812,2024/03,-,-,-,-,9.14,0.54,0.48
2830,2024/11,20513627000,386061000,400351000,289988000,35.13,2.13,1.69
2899,2024/03,113821000000,5999000000,6309000000,3370000000,192.85,7.72,3.37
289A,2024/12,107395000000,14712000000,-,988000000,9.68,1.51,0.5
3057,2024/01,12570017000,203329000,202900000,50550000,7.84,1.73,0.66
3254,2024/09,180745000000,27610000000,28015000000,21017000000,303.82,10.79,6.49
3264,2024/09,36787000000,5896000000,4431000000,3017000000,23.28,10.72,3.91
3275,2024/03,13529052000,502571000,685683000,410857000,53.34,5.7,3.81
3319,2024/12,57006589000,-823718000,-862458000,-1698531000,-93.3,-,-
3322,2024/03,13912779000,710333000,746290000,401724000,78.02,8.21,4.15
3328,2024/09,25428000000,2401000000,2221000000,1351000000,111.02,9.48,4.28
3458,2024/07,66901000000,8045000000,6816000000,4341000000,148.08,10.56,3.05
3540,2024/12,67493000000,2493000000,2621000000,6266000000,125.32,24.01,9.92
3666,2024/03,12639296000,1488654000,1546040000,1372200000,71.48,19.12,13.86
3688,2024/12,24275000000,2139000000,2384000000,1688000000,66.79,6.98,3.49
3738,2024/03,448954000000,8051000000,12390000000,7013000000,125.65,9.07,2.82
3830,2024/04,21668636000,3854685000,3843618000,2605842000,179.85,29.61,17.39
384A,2024/06,1779053000,167260000,173181000,97152000,85.39,42.77,8.46
3857,2024/03,49477000000,2174544000,2153000000,1379000000,45.7,8.95,5.8
3909,2024/12,6211422000,-165842000,-243821000,-742757000,-104.86,-,-
3978,2024/06,43861000000,4470000000,-,2293000000,60.18,5.63,2.57
3990,2024/09,27589281000,324951000,554039000,272420000,13.71,7.58,2.77
3995,2024/01,-,-,-,-,21.3,15.81,5.05
4185,2024/03,404631000000,3649000000,-,-5551000000,-26.74,-,-
4215,2024/03,137581000000,6228000000,6501000000,5102000000,52.42,5.28,3.27
4268,2024/04,2862618000,101074000,94714000,67358000,6.28,9.97,6.86
4295,2024/03,13738355000,-534557000,-564669000,-1096360000,-101.14,-,-
4314,2024/12,236000000,0,0,-97000000,-61.93,-,-
4348,2024/03,84453000000,9784000000,9893000000,6609000000,120.49,13.55,9.82
4349,2024/03,2670336000,314638000,313473000,259242000,898.35,15.48,6.28
440A,2024/10,10473530000,1780797000,1535844000,1006139000,63.33,46.42,12.18
4485,2024/03,11519000000,868062000,-102000000,-200000000,-8.96,-,-
4489,2024/03,-,-,-,-,62.57,8.04,5.05
4551,2024/12,60426000000,6798000000,6926000000,5042000000,179.37,4.15,3.58
4726,2024/03,65704000000,5699000000,5473000000,8363000000,420.51,28.13,16.18
4770,2024/03,988591000,192211000,194695000,170802000,27.18,18.18,15.09
4781,2024/03,145350000000,3746000000,3992000000,995000000,15.47,2.33,1.29
4824,2024/06,864898000,61772000,202102000,119796000,12.3,3.86,3.05
4921,2024/03,110881000000,12570000000,12940000000,8833000000,73.03,11.04,7.98
4933,2024/12,45006000000,4583000000,4572000000,2951000000,167.76,17.93,7.69
504A,2024/12,-,-1872608000,-2391551000,-2392439000,-78.9,-,-
5070,2024/12,12276867000,1022803000,1017439000,646107000,64.33,15.94,10
519A,2024/12,1821522000,-184361000,-196095000,-162536000,-487.23,-,-
5217,2024/03,17065522000,3615698000,3838004000,2729472000,705.89,14.25,10.6
5277,2024/03,2035097000,-323369000,-305954000,-301393000,-40.54,-,-
5481,2024/03,353810000000,11366000000,12119000000,9056000000,166.21,4,2.27
5585,2024/10,1351522000,469152000,469531000,334485000,51.85,10.22,9.59
5610,2024/12,-,-,-,-,19.75,0.84,0.38
5759,2024/03,16650302000,-1034233000,-1288765000,-874484000,-96.63,-,-
5809,2024/03,64119000000,2547000000,2688000000,1765000000,28.57,3.45,2.89
5836,2024/12,8161281000,143014000,133551000,53355000,22.97,4.16,1.02
5935,2024/03,14252416000,566730000,587313000,384188000,101.31,7.09,3.34
6026,2024/12,6868000000,899000000,948000000,669000000,626.97,54.79,24.18
6048,2024/08,2264846000,-206834000,-188352000,-310591000,-21.05,-,-
6095,2024/09,14948380000,1291459000,1264298000,1481764000,68.26,15.69,9.53
6228,2024/12,17880000000,789000000,662000000,318000000,24.25,2.55,1.25
6236,2024/03,14454119000,899519000,800348000,517351000,118.72,6.37,2.82
6362,2024/03,9972589000,1482868000,1698888000,1197502000,343.57,9.48,5.73
6411,2024/12,33861170000,2717242000,2832442000,2153739000,430.29,8.36,5.84
6556,2024/03,-,-,-,-,44.12,27.09,12.93
6600,2024/03,1076584000000,-252698000000,-,-243728000000,-470.97,-,-
6640,2024/12,-,-,-,-,66.31,1.98,1.31
6697,2024/12,-,-,-,-,163.81,24.26,21.23
6698,2024/03,3203968000,-91033000,-4791000,-168567000,-28.05,-,-
6704,2024/03,21290000000,-489000000,-516000000,526000000,45.3,1.84,1.13
7086,2024/05,12126102000,1269425000,-,744784000,107.91,12.38,2.2
7268,2024/03,7415178000,136767000,230961000,173489000,28.94,5.95,1.95
7330,2024/03,10309878000,1780621000,1797840000,1313461000,101.72,19.04,11.72
7342,2024/12,-,-,-,-,8.83,1.75,0.78
7363,2024/12,1528358000,50091000,47596000,17186000,19.42,2.44,1.1
7386,2024/09,1984996000,815977000,871114000,597928000,253.06,21.57,5.12
7518,2024/03,205127000000,19533000000,19151000000,13720000000,169.82,17.89,8.32
7533,2024/04,24348034000,1648012000,1649248000,1138693000,129.25,10.34,4.47
7605,2024/10,46142013000,5479071000,5632425000,4051508000,217.53,15.45,10.94
7647,2024/03,4418018000,460876000,450113000,222333000,1.09,7.1,3.66
7705,2024/03,37148173000,5714132000,6108932000,3430655000,334.38,10.2,6.17
7829,2024/02,22724000000,-1027000000,-1216000000,-1600000000,-24.3,-,-
7905,2024/03,210642000000,5938000000,9314000000,3970000000,794000000,4.25,2
