業績
コード,年度,売上高,営業利益,経常利益,純利益,EPS,ROE,ROA
1301,2013/03,178046000000,2324000000,2262000000,1269000000,116.12,6.88,1.52
1332,2013/03,566858000000,5809000000,5443000000,-4575000000,-16.5,-,-
1333,2013/03,229494000000,4921000000,5128000000,2920000000,3.24,12.72,2.35
1352,2013/03,44451000000,449000000,516000000,248000000,29.6,4.63,1.45
1375,2013/03,26509000000,-211000000,-,-1795000000,-0.46,-,-
1376,2013/05,54006876000,1383737000,1481474000,886453000,75.3,6.74,2.3
1377,2013/05,50274000000,2219000000,3564000000,3098000000,63.99,3.99,3.45
1379,2013/03,48402000000,2359000000,3702000000,1583000000,47.45,3.5,2.38
1380,2013/03,4291332000,2408000,43118000,18650000,4.46,1.41,0.47
1381,2013/06,14792000000,281103000,410000000,260000000,46.29,4.14,3.2
1382,2013/06,4013142000,-15462000,-7996000,-57648000,-75.65,-,-
1383,2013/10,3810198000,199316000,222677000,140287000,110.47,13.55,5.31
1384,2013/08,10660734000,388258000,435071000,201909000,34.64,5.21,2.44
1400,2013/12,2904560000,111392000,110111000,259801000,26.54,17.6,15.06
1401,2013/05,1374736000,66135000,86526000,48680000,7.86,8.3,3.6
1407,2013/08,52745000000,6440156000,5872000000,3123000000,68.19,48.67,10.18
1413,2013/12,61318082000,4259593000,4502682000,3309983000,243.83,30.19,10.16
1414,2013/06,51792000000,6856000000,7221000000,4349000000,18.68,8.4,6.19
1417,2013/03,271018000000,10842000000,11765000000,4200000000,49.19,4.05,2.43
1418,2013/02,12651914000,532410000,519836000,476174000,31.71,15.68,9.25
1419,2013/05,152323000000,5286000000,5004000000,2648000000,88.1,18.59,3.78
1420,2013/03,40884540000,733428000,496437000,261392000,24.78,2.11,0.57
1429,2013/12,9825273000,956347000,925629000,512095000,20.61,10.03,6.42
1430,2013/05,3421632000,54503000,48562000,22331000,2.25,34.63,1.35
1431,2013/06,2766604000,114777000,168113000,94307000,6.55,15.41,6.08
1433,2013/04,1452005000,-,-2092000,-2048000,-0.36,-,-
1434,2013/08,6116709000,211204000,248865000,-51027000,-11.69,-,-
1435,2013/12,13862016000,946186000,898936000,536386000,7.62,42.94,13.67
1436,2013/03,2190700000,-,123152000,74600000,31.08,-,5.16
1438,2013/09,2008173000,-,118323000,88561000,43.63,-,-
1439,2013/03,3019869000,-,83105000,44339000,50,-,3.03
1449,2013/12,1065304000,-,162000,2434000,1.25,-,0.75
1450,2013/09,3030253000,-,140270000,68596000,8.93,-,2.38
1491,2013/03,19556218000,1502380000,1485816000,241607000,16.68,3.1,2.64
1514,2013/03,26554000000,476000000,359000000,163000000,2.77,2.97,1.01
1515,2013/03,102840000000,8649000000,7233000000,3873000000,46.37,5.15,2.68
1518,2013/03,84009000000,3820000000,4108000000,1699000000,24.5,5.46,3.02
1605,2013/03,1216533000000,693447000000,718146000000,182961000000,125.12,7.37,5.06
1662,2013/03,231086000000,13906000000,28082000000,-865000000,-3.03,-,-
1711,2013/03,1676640000,-121155000,-122010000,-132987000,-87.23,-,-
1712,2013/02,7509441000,591633000,600272000,298747000,20.79,5.72,3.78
1716,2013/06,8573802000,507543000,586804000,341940000,28.5,7.21,5.56
1717,2013/03,7129392000,452626000,182974000,108441000,8.52,6.66,2.97
1718,2013/12,29577723000,1227385000,1197586000,503329000,460.15,6.78,1.82
1719,2013/03,197899000000,5612000000,5336000000,2293000000,19.37,6.99,1.62
1720,2013/03,228570000000,1154000000,2301000000,-566000000,-5.3,-,-
1721,2013/03,316092000000,22547000000,22914000000,13284000000,91,7.71,5.52
1722,2013/03,394696000000,12432000000,12029000000,9920000000,256.07,29.69,4.66
1723,2013/03,21786203000,1389845000,1452780000,766610000,46.76,5.73,3.38
1724,2013/03,7135000000,-175000000,-209000000,-147000000,-36.44,-,-
1726,2013/03,19182899000,547613000,351311000,269330000,7.81,20.83,1.97
1728,2013/03,34236726000,733589000,724476000,326563000,28.3,5.48,1.61
1730,2013/03,3361704000,24461000,25095000,7431000,2.17,0.65,0.25
1734,2013/03,10357909000,309709000,322145000,269497000,414.61,6.01,3.23
1736,2013/03,19736386000,877847000,949173000,534873000,31.28,5.95,2.95
1737,2013/03,21835803000,1033899000,1118553000,595870000,46.63,5.92,3.8
1738,2013/03,6228895000,353750000,374623000,220374000,54.27,10.29,6.29
1739,2013/03,4638900000,-77545000,-105419000,-71898000,-14.61,-,-
1743,2013/09,6753337000,13023000,13713000,52100000,22.88,0.87,0.53
1757,2013/03,199515000,-330034000,-329052000,33407000,167.3,6.38,4.2
1758,2013/01,9385397000,526886000,557573000,317457000,129.11,6.57,4.49
1762,2013/03,149974000000,4715000000,4851000000,2911000000,74.87,3.87,2.06
1764,2013/06,15834070000,403489000,251464000,187393000,140.77,7.39,1.52
1766,2013/04,236453000000,8837000000,9491000000,5770000000,428.3,12.27,4.98
1768,2013/03,7532490000,17253000,44608000,30247000,4.03,0.78,0.37
1770,2013/03,22079328000,568800000,627077000,358084000,30.61,4.2,2.06
1771,2013/09,12497452000,609770000,636125000,406110000,80.42,11.68,5.65
1775,2013/03,64293000000,1894000000,2096000000,1135000000,125.74,10.87,3.14
1776,2013/03,32861000000,1054000000,1065000000,547000000,58.96,10.28,2.4
1777,2013/03,20699131000,334228000,333079000,264266000,22.02,7.03,2.05
1780,2013/09,19356458000,1004149000,1077153000,380777000,19.15,4.01,2.36
1782,2013/03,14627687000,868495000,851492000,456774000,581.88,14.33,4.27
1783,2013/09,3143409000,-143504000,-154835000,-69631000,-1.72,-,-
1787,2013/03,9912928000,720460000,759563000,446152000,171.43,7.82,4.77
1788,2013/06,4945314000,-83800000,-81356000,-94535000,-137.81,-,-
1789,2013/09,4176700000,127106000,163761000,141141000,22.16,7.1,4.63
1793,2013/03,68132000000,117000000,787000000,949000000,24.94,1.94,1.28
1795,2013/03,10084181000,184680000,170654000,16538000,18.35,0.58,0.24
1798,2013/03,27977749000,-556353000,-473592000,-1550760000,-686.18,-,-
1799,2013/03,41670591000,3996708000,4192119000,2571121000,123.26,6.51,4.97
1801,2013/03,1416495000000,35606000000,35063000000,20050000000,87.92,5.87,1.3
1802,2013/03,1448305000000,35153000000,44690000000,13195000000,18.29,3.43,0.8
1803,2013/03,1416044000000,13101000000,17330000000,5901000000,7.48,1.66,0.41
1805,2013/03,111865000000,1373000000,570000000,442000000,23.62,3.69,0.46
1807,2013/03,40630163000,1790578000,1759153000,1623730000,254.05,18.96,5.61
1808,2013/03,558919000000,24329000000,19976000000,13064000000,43.43,11.5,2.83
1810,2013/03,77772642000,594237000,844832000,621407000,20.32,2.89,1.24
1811,2013/03,113605000000,-4845000000,-4459000000,-4581000000,-623,-,-
1812,2013/03,1485019000000,18469000000,24633000000,23429000000,44.32,7.31,1.39
1813,2013/03,58228000000,1572000000,1948000000,1281000000,70.37,9.06,2.7
1814,2013/03,39248000000,-577000000,-786000000,-826000000,-77.82,-,-
1815,2013/03,126609000000,-640000000,-871000000,-1234000000,-78.75,-,-
1820,2013/03,253250000000,2666000000,4307000000,3411000000,61.36,2.67,0.99
1821,2013/03,342727000000,5784000000,4612000000,2042000000,15.12,9.39,0.92
1822,2013/03,112740000000,-633000000,-411000000,-2629000000,-39.14,-,-
1824,2013/03,369157000000,-7051000000,-4226000000,-5271000000,-28.46,-,-
1826,2013/03,29864000000,553000000,549000000,489000000,31.51,6.17,2.19
1827,2013/03,117254000000,1522000000,1755000000,653000000,18.93,5.94,0.91
1828,2013/03,23993077000,826222000,872217000,510749000,47.61,5.16,2.72
1832,2013/03,52092795000,587339000,802809000,508537000,25.79,2.39,1.45
1833,2013/03,196554000000,1339000000,3563000000,2683000000,58.75,2.2,1.15
1835,2013/03,87165276000,5424728000,5734549000,3938271000,109.09,8.91,4.92
1840,2013/10,27152502000,754254000,809683000,493727000,19.35,3.79,2.23
1841,2013/03,4385000000,210514000,212000000,109000000,27.25,1.21,0.9
1844,2013/07,2688631000,60274000,65447000,61149000,6.37,3.32,2.07
1847,2013/03,57620000000,1086000000,1090000000,270000000,37.61,3.58,0.87
1848,2013/03,17421000000,146000000,120000000,97000000,5.21,2.07,0.62
1850,2013/03,36653000000,762000000,662000000,425000000,14.74,7.65,1.24
1852,2013/03,121192000000,-3852000000,-4216000000,-3418000000,-44.17,-,-
1853,2013/03,29880000000,267000000,205000000,143000000,4.36,4.2,0.78
1860,2013/03,497048000000,-46997000000,-45581000000,-65285000000,-202.34,-,-
1861,2013/03,260753000000,-1167000000,65000000,-1083000000,-12.05,-,-
1865,2013/03,103288000000,1763000000,1878000000,1117000000,17.56,2.09,1.24
