業績
コード,年度,売上高,営業利益,経常利益,純利益,EPS,ROE,ROA
1301,2023/03,272167000000,8105000000,8182000000,5782000000,539.05,12.16,3.95
130A,2023/12,360356000,37623000,35898000,33048000,6.01,2.1,2
1332,2023/03,768181000000,24488000000,27776000000,21233000000,68.22,9.79,3.87
1333,2023/03,1020456000000,29575000000,33500000000,18596000000,121.22,10.43,2.92
135A,2023/02,617397000,64319000,63399000,49930000,5.04,55.97,14.64
1375,2023/03,42204000000,2191000000,-,1181000000,29.62,11.35,3.55
1376,2023/05,62179177000,1785397000,1913319000,1426338000,123.63,6.07,3.05
1377,2023/05,77263000000,10918000000,12304000000,9489000000,213.96,6.89,5.9
1379,2023/03,72980000000,-2948000000,-1854000000,-2037000000,-64.43,-,-
137A,2023/05,797145000,140323000,140710000,97175000,701.98,36.37,26.09
1380,2023/03,7070463000,19838000,242195000,156042000,37.43,7.31,2.57
1381,2023/06,24101000000,1911000000,1977000000,1410000000,251.08,7.14,6.23
1382,2023/06,2489362000,135111000,138790000,110353000,144.87,14.01,9.96
1383,2023/10,7061165000,76614000,106604000,78032000,50.86,3.84,1.38
1384,2023/03,17823000000,1318000000,1383000000,745000000,88.07,6.93,4.42
138A,2023/11,2225111000,262417000,255065000,201040000,299.17,55.25,11.39
1400,2023/12,2659008000,-8765000,38731000,107199000,8.24,4.26,3.37
1401,2023/05,4004117000,432502000,468392000,322674000,42.62,10.01,7.81
1407,2023/08,43734000000,8499000000,7972000000,6016000000,147.95,19.17,4.86
1414,2023/06,83924000000,18124000000,18637000000,12887000000,60.88,13.15,10.54
1417,2023/03,483987000000,21803000000,22384000000,14781000000,151.19,5.99,3.38
1418,2023/02,11460884000,168708000,177294000,179367000,11.34,5.47,2.46
1419,2023/05,256065000000,13264000000,13477000000,8715000000,298.41,24.99,7.82
141A,2023/06,653112000000,13964000000,14358000000,8084000000,82.75,12.27,4.03
1420,2023/03,40970625000,-149986000,-191308000,-245661000,-22.15,-,-
1429,2023/12,28341797000,2881973000,2917047000,2004188000,63.83,21.54,9.83
142A,2023/03,1517574000,73773000,64858000,41495000,17.34,186.18,2.54
1430,2023/05,25543522000,1983751000,1979336000,1364690000,114.8,17.23,6.36
1431,2023/06,14183138000,299244000,314094000,173540000,7.84,5.23,1.96
1433,2023/01,5458728000,-215661000,-94823000,-64357000,-7.33,-,-
1434,2023/08,11104493000,425371000,505766000,1182156000,174.18,21.08,7.05
1435,2023/12,8625026000,748786000,737530000,886349000,9.86,10.32,7.37
1436,2023/04,8853977000,530752000,515286000,323610000,79.4,6.81,3.14
1438,2023/09,5002157000,390091000,398664000,298748000,93.25,8.48,6.36
1439,2023/12,7399680000,336597000,335169000,204611000,154.94,11.69,4.7
143A,2023/03,1148005000,95388000,94931000,83450000,52.16,14.57,5.23
1443,2023/03,5480028000,414435000,517359000,329154000,20.27,3.45,2.09
1444,2023/07,4166512000,148240000,142933000,69464000,63.93,4.7,2.79
1446,2023/09,12309603000,452365000,441661000,224550000,24.45,8.3,3.61
1447,2023/03,30528153000,739425000,708457000,162492000,6.93,6.19,0.97
1449,2023/12,1337541000,-49575000,-45582000,-63782000,-29.94,-,-
1450,2023/03,11246057000,1560916000,1600394000,1086769000,124.93,17.48,13.55
1451,2023/03,11047187000,602925000,549002000,356124000,89.7,5.78,2.21
145A,2023/12,1279912000,38106000,32148000,46056000,11.08,7.24,3.49
146A,2023/12,14469000000,2718000000,2382000000,1516000000,303.2,21.23,4.74
147A,2023/03,6299403000,101376000,112799000,70874000,1.84,1.85,1.25
148A,2023/12,2056408000,20825000,11710000,77869000,45.59,30.96,4.24
1491,2023/03,84822504000,794882000,648752000,398347000,27.64,5.55,3.7
149A,2023/12,1040169000,101364000,98057000,108902000,40.45,27.79,20.29
150A,2023/03,2967671000,164687000,160762000,187858000,8110.26,14.1,9.43
1514,2023/03,36323000000,3840000000,3719000000,3667000000,68.58,18.01,14.03
1515,2023/03,164020000000,13632000000,13204000000,9780000000,117.57,7.39,4.69
1518,2023/03,80015000000,35789000000,35933000000,22977000000,353.6,41.19,24.18
151A,2023/06,8265919000,120007000,137932000,168348000,23.38,17.48,5.35
153A,2023/12,994995000,295860000,293868000,260372000,45.63,57.65,22.09
155A,2023/12,5298404000,388134000,385057000,275454000,32.41,38.61,14.99
156A,2023/08,4655904000,713502000,695065000,437864000,44.56,30.6,16.6
157A,2023/06,1711553000,164837000,169572000,121585000,38.11,19.01,11.41
1605,2023/12,2164516000000,1114189000000,1350448000000,321708000000,248.55,6.13,4.77
160A,2023/03,12782486000,201092000,244465000,229712000,75.81,12.32,1.56
1662,2023/03,336492000000,62085000000,83130000000,67394000000,247.33,15.83,11.86
